bun test v1.3.14 (0d9b296a)

test/e2e/fleet.e2e.ts.test.ts:
timestamp=2026-06-15T01:11:20.575Z level=INFO fiber=#5 message="Gateway run started" gateway:run=0ms runId=run-atlas transport=ws triggeredBy=fleet-control role=operator workflow=panopticon-fleet-control service=smithers source=user userId=fleet-control resume=false connectionId=fleet-control:connection
timestamp=2026-06-15T01:11:21.422Z level=INFO fiber=#568 message="getNodeOutput completed" runId=run-atlas durationMs=1.6414999999999509 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.449Z level=INFO fiber=#574 message="getNodeOutput completed" runId=run-atlas durationMs=1.64912500000014 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.478Z level=INFO fiber=#580 message="getNodeOutput completed" runId=run-atlas durationMs=1.8521670000000086 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.505Z level=INFO fiber=#586 message="getNodeOutput completed" runId=run-atlas durationMs=1.5544170000000577 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.535Z level=INFO fiber=#592 message="getNodeOutput completed" runId=run-atlas durationMs=1.5667499999999563 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.558Z level=INFO fiber=#598 message="getNodeOutput completed" runId=run-atlas durationMs=1.5549579999999423 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.585Z level=INFO fiber=#604 message="getNodeOutput completed" runId=run-atlas durationMs=1.7758329999999205 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.612Z level=INFO fiber=#610 message="getNodeOutput completed" runId=run-atlas durationMs=1.6610829999999623 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.640Z level=INFO fiber=#616 message="getNodeOutput completed" runId=run-atlas durationMs=1.7245410000000447 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.667Z level=INFO fiber=#622 message="getNodeOutput completed" runId=run-atlas durationMs=1.6345420000000104 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.695Z level=INFO fiber=#628 message="getNodeOutput completed" runId=run-atlas durationMs=1.6670420000000377 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.722Z level=INFO fiber=#634 message="getNodeOutput completed" runId=run-atlas durationMs=1.5910839999999098 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
timestamp=2026-06-15T01:11:21.748Z level=INFO fiber=#640 message="getNodeOutput completed" runId=run-atlas durationMs=1.7073339999999462 nodeId=complete errorCode=NodeNotFound status=error iteration=0 rowBytes=0 service=smithers
